Name,Spend,Pareto
jowls12 inc.,72264112.45,34.71574 %
liquidates9 inc.,71999321.3,34.81619 %
bricked2 inc.,71107220,34.91538 %
sneeringly10 inc.,70821051.3,35.01418 %
loggers inc.,70440885,35.11245 %
concession9 inc.,70394212.05,35.21065 %
mutinous6 inc.,69621275.55,35.30778 %
funniness2 inc.,69452992.35,35.40467 %
spicing2 inc.,68415040.4,35.50011 %
looting16 inc.,68398792.8,35.59553 %
prague10 inc.,68331929.85,35.69086 %
crotchety inc.,67837983.3,35.78549 %
hypnotic15 inc.,67462809,35.87961 %
hereditary6 inc.,67397823.4,35.97363 %
the15 inc.,66687977.1,36.06666 %
lambasted5 inc.,66351861.9,36.15923 %
spartan1 inc.,66289855.2,36.25170 %
loath8 inc.,65700148.95,36.34336 %
masts15 inc.,65472653.1,36.43470 %
lioness10 inc.,65128515.9,36.52555 %
lilts2 inc.,64742721.15,36.61587 %
beelines5 inc.,63646929.3,36.79371 %
vialed13 inc.,63000947.9,36.88160 %
fates9 inc.,62752863.8,36.96914 %
sunday13 inc.,61951576.95,37.05557 %
fistful2 inc.,61907383.35,37.14193 %
clerics inc.,61142859,37.22723 %
enticed8 inc.,59923793.8,37.31083 %
sovietizes4 inc.,59249409.75,37.47687 %
dreaded6 inc.,59073231,37.55928 %
offices11 inc.,57607410.15,37.63964 %
intermixes16 inc.,57514129.05,37.71988 %
rhubarbs7 inc.,57403302.8,37.79996 %
well8 inc.,57047438.85,37.87954 %
cloverleaf16 inc.,56971462.8,37.95902 %
smoggier14 inc.,56961349.35,38.03848 %
reforest16 inc.,56705982.66,40.56871 %
tonsil1 inc.,56679541.05,38.11755 %
massaging7 inc.,56545095.3,38.19643 %
begged16 inc.,56508011.25,38.27527 %
flankers10 inc.,56472552.3,38.35405 %
foretoken inc.,56438346.3,38.43278 %
disabuse inc.,56436663.1,38.51151 %
guiltiest inc.,56126367.3,38.58981 %
pocketbook5 inc.,55475026.65,38.66720 %
aleck7 inc.,54968404.8,38.74389 %
goes8 inc.,54954630.76,39.18454 %
ruddy2 inc.,54896315.7,38.89709 %
logbook6 inc.,54465476.7,38.97307 %
pursues1 inc.,54255470.25,39.04876 %
slants12 inc.,54133127.4,39.12428 %
writhing7 inc.,54100611.45,39.19975 %
anatomies16 inc.,54071858.9,39.27518 %
wholesome3 inc.,53426848.5,39.34971 %
shagged16 inc.,53247636.1,39.42400 %
rakes3 inc.,53191223.25,39.49820 %
sleeved15 inc.,52398444.3,39.57130 %
demised13 inc.,51541922.7,39.64320 %
ails3 inc.,51193025.4,39.71462 %
pleasantly8 inc.,50955467.4,39.78570 %
marshes8 inc.,50193022.8,39.85573 %
outstrips7 inc.,50099510.85,39.92562 %
rescinds4 inc.,50024356.65,39.99540 %
phenotype15 inc.,49634531.7,40.06465 %
patsy11 inc.,49333272.9,40.13347 %
tollgates1 inc.,49256060.7,40.20218 %
adder16 inc.,49223294.3,40.27085 %
wonderment7 inc.,48671835.6,40.33875 %
gathered15 inc.,47820159.3,40.40546 %
clenching12 inc.,47602968.3,40.47187 %
broadleaf14 inc.,47188089.6,40.60362 %
mansion3 inc.,46893759.3,40.66904 %
gamble3 inc.,46704537.3,40.73420 %
pietisms7 inc.,46599783.75,40.79920 %
dispel16 inc.,46133009.4,40.86356 %
mason16 inc.,46009023.3,40.92775 %
bamboo inc.,45319105.8,40.99097 %
marline12 inc.,45192007.7,41.05401 %
videotaped8 inc.,44965617.6,41.11674 %
bump10 inc.,44598015.7,41.17896 %
eyelets11 inc.,44314132.5,41.24078 %
abandons6 inc.,44307064.6,41.30259 %
brasher5 inc.,44057700.8,41.36405 %
fief2 inc.,43991787.45,41.42542 %
stilling5 inc.,43964667.6,41.48676 %
tope inc.,42773022.7,41.54643 %
feasting1 inc.,42769146,41.60609 %
emptiers8 inc.,42682528.7,41.66564 %
slantwise5 inc.,42060344.85,41.72431 %
brawny11 inc.,42055735.2,41.78298 %
toccatas15 inc.,42019548.9,41.84160 %
ambulance9 inc.,42005401.8,41.90020 %
shortbread5 inc.,41989348.65,41.95878 %
acuities13 inc.,41944227.6,42.01729 %
fireweed15 inc.,41914383.1,42.07576 %
woolliness4 inc.,41847743.4,42.13414 %
centering15 inc.,41803112,42.19246 %
verbal4 inc.,41737310.1,42.25069 %
festering8 inc.,41559299.7,42.30866 %
augmented15 inc.,41074975.5,42.36596 %
backache4 inc.,40771169.2,42.42284 %
deforested12 inc.,40576824.9,42.47945 %
anemia9 inc.,40525140.45,42.53598 %
windowpane8 inc.,40311244.8,42.59222 %
hoeing8 inc.,40142364,42.64822 %
winds14 inc.,39761725.1,42.70369 %
mistreat8 inc.,39550217.85,42.75886 %
ringers10 inc.,39516078.6,42.81399 %
fictive1 inc.,39357687,42.86890 %
chalets14 inc.,39119554.4,42.92347 %
travailing11 inc.,39042277.95,42.97793 %
perihelial2 inc.,38434632.45,43.03155 %
nugatory11 inc.,38409868.3,43.08514 %
blasting12 inc.,38288722.05,43.13855 %
grimy inc.,38223185.7,43.19187 %
caprices6 inc.,37949430.1,43.24482 %
jumpiness14 inc.,37918170.4,43.29771 %
intervene5 inc.,37855725.45,43.35052 %
allemande16 inc.,37837270.65,43.40331 %
fetishists6 inc.,37804997.9,43.45605 %
speeding15 inc.,37656244.5,43.50858 %
millionth5 inc.,37421002.95,43.56078 %
deplanes15 inc.,37366315.3,43.61291 %
adulterer1 inc.,37069473.9,43.66463 %
confident6 inc.,36980292.03,44.15506 %
bankers8 inc.,36956875.7,43.71618 %
iodine9 inc.,36868227.45,43.81912 %
bumpy4 inc.,36828153.1,43.87050 %
peachy11 inc.,36750686.7,43.92177 %
overbook inc.,36396997.2,43.97254 %
deviating15 inc.,36349512.8,44.02325 %
baryons13 inc.,36258888.09,46.23940 %
imperious13 inc.,36122869.2,44.07364 %
armatures6 inc.,35864179.9,44.12368 %
cozier15 inc.,35799317.55,44.17362 %
boggling12 inc.,35679504.85,44.22339 %
radiometry14 inc.,35347126.3,44.27270 %
forewarns8 inc.,35030359.65,44.32157 %
affability8 inc.,34946903.25,44.37032 %
neigh6 inc.,34807068.15,44.41888 %
walked12 inc.,34804728.45,44.46744 %
anthems16 inc.,34699681.5,44.51584 %
manuals11 inc.,34698904.05,44.56425 %
remainder9 inc.,34592924.25,44.61251 %
acetylene6 inc.,34545491.3,44.66070 %
rhapsodies3 inc.,34350830,44.70862 %
tame2 inc.,34261803.1,44.75642 %
selling6 inc.,34234941.9,44.80418 %
umbrage12 inc.,34202066.79,45.74763 %
privately12 inc.,34180315.65,44.85186 %
softwood inc.,33894306.9,44.89915 %
magic1 inc.,33798814.5,44.94630 %
consumers14 inc.,33730416.15,44.99335 %
straddlers7 inc.,33720453.9,45.04039 %
hoists9 inc.,33505832.55,45.08714 %
educating3 inc.,33505049.4,45.13388 %
rattaning4 inc.,33169488.7,45.18015 %
gimped13 inc.,33069168.75,45.22628 %
hardback2 inc.,32980400.25,45.27229 %
maimed3 inc.,32908335.45,45.31820 %
mandate5 inc.,32813985.84,48.19275 %
spoor3 inc.,32805379.05,45.36397 %
swaddle7 inc.,32645463.6,45.40951 %
accidental10 inc.,32582769.6,45.45496 %
likelihood7 inc.,32504540,45.50031 %
signeted12 inc.,32399589.3,45.54551 %
combat9 inc.,32291266.8,45.63568 %
dolly8 inc.,32087186.25,45.68044 %
patron9 inc.,31910776.65,45.72496 %
golds5 inc.,31850347.5,45.76939 %
prettiest8 inc.,31785347.7,45.81373 %
moorage11 inc.,31019893.05,45.85701 %
exporter16 inc.,31000908.75,45.90026 %
overlords5 inc.,30995998.2,45.94350 %
subtlety11 inc.,30995812.1,45.98674 %
lost12 inc.,30946981,46.02991 %
webster10 inc.,30678483.45,46.07271 %
ratted3 inc.,30539602.8,46.11531 %
petting7 inc.,30525347.5,46.15790 %
archery8 inc.,30515817.4,46.24305 %
wait14 inc.,30490798.05,46.28558 %
pedaled3 inc.,30471974.3,46.32809 %
stepwise14 inc.,30403130.55,46.37051 %
boodled16 inc.,30373033.4,46.41288 %
cavaliers9 inc.,30315304.5,46.45517 %
seminar12 inc.,30239201.12,46.89695 %
rhodium6 inc.,30146668.5,46.49723 %
skate2 inc.,30126606.45,46.53925 %
postscript5 inc.,30086929.8,46.58123 %
adonis14 inc.,30028445.3,46.66502 %
putoff1 inc.,30027342.9,46.70691 %
tapirs6 inc.,29836481.4,46.74853 %
oblation9 inc.,29770822.05,46.79006 %
mossier5 inc.,29737509.9,46.83155 %
attiring6 inc.,29692255.35,46.87297 %
monographs6 inc.,29499041.2,46.91412 %
frying11 inc.,29382157.65,46.95511 %
lid3 inc.,29233129.95,46.99590 %
leash8 inc.,29157757.35,47.03657 %
maneuver16 inc.,29141467.95,47.07723 %
poplins8 inc.,29136941.9,47.11787 %
erects6 inc.,29122216.8,47.15850 %
designees3 inc.,29061739.5,47.19904 %
labeled12 inc.,29002952.7,47.23950 %
fascists9 inc.,28988268,47.27994 %
thyroxins1 inc.,28861001.4,47.32020 %
magma9 inc.,28768748.1,47.36034 %
laid15 inc.,28662730.8,47.40032 %
melamines13 inc.,28649038.3,47.44029 %
traverse8 inc.,28641873.3,47.48025 %
yukon13 inc.,28638541.4,47.52020 %
emend9 inc.,28632496.65,47.56014 %
bandaging12 inc.,28628612,47.60008 %
marbles16 inc.,28500145.95,47.63984 %
licking10 inc.,28403841.3,47.67947 %
slobbers14 inc.,28281835.2,47.71892 %
serrating11 inc.,28242620.3,47.75832 %
distaff10 inc.,28136096.4,47.79757 %
unsolved6 inc.,28109466.33,48.28003 %
suture5 inc.,28038251.1,47.83669 %
dayton6 inc.,28037343.3,47.87580 %
promotions16 inc.,28019380.4,47.91489 %
violist3 inc.,27872034.9,47.99284 %
unbeliever2 inc.,27672367.5,48.03144 %
erasable9 inc.,27470225.2,48.06977 %
quarrel16 inc.,27438073,48.10804 %
twinging5 inc.,27327987.15,48.18431 %
whammy6 inc.,27245562.6,48.22232 %
skullcaps5 inc.,27240884.1,48.26033 %
warlock9 inc.,27221364.75,48.29830 %
seaside7 inc.,26966702.1,48.33592 %
architects11 inc.,26958989.55,48.37353 %
unsociable2 inc.,26944683.75,48.41112 %
griping2 inc.,26933845.95,48.44869 %
narrator3 inc.,26916983.9,48.48624 %
scansions16 inc.,26911631.1,48.52379 %
taprooms7 inc.,26901374.7,48.56131 %
handfuls inc.,26887107.65,48.59882 %
banjos8 inc.,26794197.15,48.63620 %
lotharios16 inc.,26641958.55,48.67337 %
yodel7 inc.,26635599.45,48.71053 %
cripples14 inc.,26590092.1,48.74762 %
uremia9 inc.,26580315.9,48.78470 %
tares12 inc.,26492577.6,48.82166 %
enclosed8 inc.,26469912.45,48.85859 %
winnings7 inc.,26338487.55,48.89533 %
proofreads4 inc.,26288800.95,48.93200 %
timing9 inc.,26262768.3,48.96864 %
ricotta10 inc.,26184690.75,49.00517 %
bullfinch13 inc.,26179943.55,49.04169 %
stresses6 inc.,26148002.1,49.07817 %
funny inc.,26117294.4,49.11461 %
eros16 inc.,25980778.5,49.15085 %
tying2 inc.,25980614,49.18709 %
operettas inc.,25964144.85,49.22332 %
logistical2 inc.,25958928.9,49.25953 %
towheaded1 inc.,25885835.4,49.29564 %
unnamable7 inc.,25865480,49.33172 %
challenge8 inc.,25860255.8,49.36780 %
unexciting9 inc.,25839574.6,49.40385 %
proximal6 inc.,25831639.4,49.43988 %
graziers inc.,25815814.95,49.47590 %
subclasses6 inc.,25720654.6,49.51178 %
impel1 inc.,25649793.6,49.54756 %
haunting16 inc.,25588967.85,49.58326 %
lupine5 inc.,25580508.4,49.61895 %
twisted1 inc.,25517447.1,49.65454 %
palisade14 inc.,25493993.8,49.69011 %
paddling12 inc.,25428591,49.72558 %
folkway7 inc.,25406619,49.76103 %
portraits7 inc.,25321123.8,49.79635 %
replied14 inc.,25193324.55,49.83150 %
hirers inc.,25178216.85,49.86662 %
charge1 inc.,25021069.4,49.90153 %
avenue7 inc.,25015586.6,49.93643 %
relabeling13 inc.,24879828.25,49.97113 %
graininess inc.,24846015,50.00580 %
effectual5 inc.,24814247,50.04041 %
rioted16 inc.,24587985.83,50.47255 %
rewriter10 inc.,24539372.7,50.10889 %
tigress2 inc.,24423431.7,50.14296 %
cellists7 inc.,24410007.9,50.17702 %
called10 inc.,24370254.6,50.21101 %
tautest1 inc.,24368746.7,50.24501 %
swashes6 inc.,24349767.6,50.27898 %
plunking14 inc.,24255734.4,50.31282 %
solidified12 inc.,24254277.3,50.34665 %
daffiest6 inc.,24109298.55,50.38028 %
squeegees15 inc.,24076604.1,50.41387 %
xeroxing11 inc.,23895924.45,50.44721 %
forbids13 inc.,23894557.65,50.48054 %
bovines15 inc.,23871872.4,50.51384 %
gossiping12 inc.,23829914.5,50.54709 %
appalled3 inc.,23779933.35,50.58026 %
jennets7 inc.,23709235.45,50.61334 %
devotedly7 inc.,23702653.8,50.64640 %
ravel9 inc.,23698343.8,50.67946 %
dolman1 inc.,23636490.45,50.71244 %
savior11 inc.,23629009.05,50.74540 %
sprint9 inc.,23533547.1,50.77823 %
shams15 inc.,23450542.8,50.81095 %
hedonisms2 inc.,23392657.95,50.84358 %
hybridizes7 inc.,23338465.35,50.87614 %
funkier15 inc.,23209592.6,50.90852 %
aviarists13 inc.,23209038.15,50.94090 %
tenderloin6 inc.,23195521.05,50.97325 %
glistens inc.,23151949.95,51.00555 %
diagraming4 inc.,23139513.6,51.03783 %
sendoff13 inc.,23136724.55,51.07011 %
dislodged12 inc.,23124764.4,51.10237 %
fertilizer12 inc.,23096425.35,51.13459 %
ensured10 inc.,23085801.8,51.16680 %
degenerate1 inc.,23032212.9,51.19893 %
congruity10 inc.,22978570.4,51.23098 %
mescaline3 inc.,22955697,51.26301 %
bobcats7 inc.,22911898.65,51.29497 %
galleries10 inc.,22897021.95,51.32691 %
corkscrew4 inc.,22896973.5,51.35886 %
exhorting3 inc.,22867507.1,51.39076 %
dropouts14 inc.,22820250.75,51.42259 %
lupus4 inc.,22769541.7,51.45436 %
recrowning16 inc.,22711062.8,51.48604 %
pearls6 inc.,22667956.65,51.51766 %
carriers10 inc.,22630057.05,51.54923 %
betrayal1 inc.,22566556.35,51.58071 %
retrogress1 inc.,22490188,51.61209 %
dolmen9 inc.,22476863.15,51.64344 %
billing5 inc.,22464741,51.67478 %
virulence14 inc.,22464311.3,51.70612 %
segmented2 inc.,22403117.55,51.73738 %
agrees2 inc.,22339257.9,51.76854 %
ethane3 inc.,22317328,51.79967 %
singly4 inc.,22316224.05,51.83081 %
separable4 inc.,22300048.95,51.86192 %
dreadfully13 inc.,22262387.55,51.89297 %
albumen13 inc.,22248304.2,51.92401 %
shrouded4 inc.,22172355,51.95494 %
backups2 inc.,22143957.6,51.98583 %
coalesce13 inc.,22111877.4,52.01668 %
factitious16 inc.,22095192.5,52.04750 %
issuances14 inc.,22070869.8,52.07829 %
trashing4 inc.,21985903.6,52.10897 %
jimmied8 inc.,21905821.1,52.13953 %
takers13 inc.,21846491.55,52.17000 %
facie6 inc.,21839160.3,52.20047 %
plaids1 inc.,21823877.25,52.23091 %
forsook9 inc.,21816761.75,52.26135 %
graph inc.,21812696.85,52.29178 %
enslave16 inc.,21753640.05,52.32213 %
bunco14 inc.,21701942.7,52.35240 %
fabulous2 inc.,21633979.5,52.38258 %
drools14 inc.,21617291.7,52.41274 %
warier11 inc.,21586133,52.44285 %
mycosis14 inc.,21534444.8,52.47289 %
hulls6 inc.,21457514.85,52.50283 %
evangelism inc.,21446944.2,52.53275 %
topiaries15 inc.,21418934.55,52.56263 %
landfall12 inc.,21393206.7,52.59247 %
unhands10 inc.,21372152.6,52.62229 %
misused13 inc.,21255788.7,52.65194 %
bloat3 inc.,21132201.15,52.68142 %
halloos14 inc.,21117995.1,52.71088 %
dodges inc.,21106863.6,52.74033 %
mastiffs5 inc.,21049568.3,52.76969 %
seignior3 inc.,21028006.05,52.79903 %
cleansed2 inc.,21005052.4,52.82833 %
aloof4 inc.,20941609.5,52.85754 %
collars16 inc.,20924775.8,52.88674 %
lacteal9 inc.,20916818.4,52.91592 %
tooth7 inc.,20808522.5,52.94494 %
teared7 inc.,20808242.55,52.97397 %
estimates7 inc.,20756044.8,53.00293 %
cenotaph8 inc.,20711048.4,53.03182 %
farewells1 inc.,20640550.4,53.06062 %
unwed6 inc.,20619326.4,53.08938 %
stockier8 inc.,20618136.1,53.11814 %
average13 inc.,20577821.85,53.14685 %
skivvy15 inc.,20476574.4,53.17542 %
decorated inc.,20469679.35,53.20397 %
buddhist8 inc.,20446769.85,53.23250 %
contuse12 inc.,20436563.3,53.26101 %
libbers13 inc.,20391321.9,53.28945 %
find2 inc.,20344001.9,53.31783 %
aster1 inc.,20325372.35,53.34619 %
bawds11 inc.,20264128.95,53.37446 %
swellings4 inc.,20251548.6,53.40271 %
bloom inc.,20247091.5,53.43096 %
splendidly4 inc.,20164984.34,56.39088 %
elegizing1 inc.,20131770.6,53.45904 %
vela6 inc.,20111698.1,53.48710 %
exhibiting2 inc.,20110756.3,53.51515 %
dither16 inc.,20043790.35,53.54311 %
missal2 inc.,20028859,53.57106 %
heehawing4 inc.,20005040.25,53.59896 %
showdowns11 inc.,19985479.95,53.62684 %
candidates inc.,19947022.5,53.65467 %
voracious14 inc.,19888389.3,53.68242 %
sprees8 inc.,19834203.4,53.71009 %
churches inc.,19831069.2,53.73775 %
delves12 inc.,19827554.7,53.76541 %
unbeliefs6 inc.,19820476.35,53.79306 %
alcoholism11 inc.,19760515.35,53.82063 %
birth7 inc.,19759124.5,53.84819 %
cameramen13 inc.,19758417.75,53.87576 %
phenomenon10 inc.,19731797.55,53.90328 %
morbidity11 inc.,19730186.7,53.93081 %
terrain3 inc.,19716223.35,53.95831 %
purveys11 inc.,19686339.9,53.98578 %
clinker15 inc.,19562751.75,54.01307 %
chrisms15 inc.,19526487,54.04031 %
declivity11 inc.,19473915.9,54.06748 %
palest10 inc.,19379656.05,54.09451 %
creative4 inc.,19366828.1,54.12153 %
playboys10 inc.,19307999.4,54.14846 %
heraldry inc.,19243460.25,54.17531 %
cattail4 inc.,19219760,54.20212 %
ambivalent12 inc.,19156806.8,54.22885 %
moistening14 inc.,19147806.8,54.25556 %
demagogic11 inc.,19103108.1,54.28221 %
limitless4 inc.,19049301.75,54.30878 %
persecute15 inc.,19046795.8,54.33535 %
fusion2 inc.,19038825.45,54.36191 %
pelf13 inc.,19030424.55,54.38846 %
bids1 inc.,19005670.5,54.41498 %
postponed inc.,18997322.1,54.44148 %
pushes15 inc.,18974876.9,54.46795 %
boors5 inc.,18913994.3,54.49434 %
alchemist8 inc.,18903198.2,54.52071 %
greeted7 inc.,18851628,54.54701 %
onslaughts9 inc.,18845885.85,54.57330 %
paychecks7 inc.,18844082.3,54.59958 %
quickies8 inc.,18836374.8,54.62586 %
caddish6 inc.,18836268.75,54.65214 %
fluming9 inc.,18825141.65,55.08523 %
creeps11 inc.,18804034.95,54.70461 %
outguessed8 inc.,18798569.85,54.73084 %
applicants inc.,18760152.9,54.75701 %
confreres15 inc.,18696907.9,54.78309 %
cyanogens15 inc.,18597315.45,54.80903 %
datelines6 inc.,18589128.6,54.83497 %
cheats inc.,18588119.7,54.86090 %
cheeky14 inc.,18505566.8,54.88671 %
overtone11 inc.,18455736.4,54.91246 %
unfitted4 inc.,18442884.3,54.93819 %
eggs3 inc.,18431439.9,54.96390 %
plunged3 inc.,18404798.25,54.98958 %
episode12 inc.,18370388.9,55.01521 %
pulverized7 inc.,18347702.4,55.04080 %
unsoiled7 inc.,18329920.4,55.06637 %
tabards14 inc.,18280662.21,55.48446 %
rochester11 inc.,18226422.6,55.11723 %
avalanche2 inc.,18184422.3,55.14260 %
thiamines8 inc.,18148201.4,55.16792 %
martians1 inc.,18118925.4,55.19320 %
outlast6 inc.,18112114.8,55.21846 %
old13 inc.,18071172,55.24367 %
sabers7 inc.,18011687.7,55.26880 %
algebra inc.,17983551.3,55.29389 %
recline14 inc.,17971425.5,55.31896 %
loveliness15 inc.,17933440.4,55.34398 %
pellagra16 inc.,17906173.8,55.36896 %
boastful11 inc.,17894634.9,55.39392 %
glamours11 inc.,17858442.85,55.41883 %
overawed5 inc.,17837627.55,55.44372 %
mesmerized8 inc.,17809249,55.46856 %
hazards16 inc.,17793847.75,55.49339 %
buddhist1 inc.,17754991.8,55.51816 %
creases12 inc.,17750925.3,55.54292 %
slabs9 inc.,17677269.9,55.56758 %
coroner2 inc.,17677234.65,55.59224 %
stopover6 inc.,17668603.95,55.61689 %
fluffy14 inc.,17654744.4,55.64152 %
surnaming8 inc.,17644180,55.66613 %
exemplar inc.,17601231.15,55.69069 %
barbing10 inc.,17599399.3,55.71524 %
holisms9 inc.,17586769.5,55.73977 %
striped14 inc.,17581766.55,55.76430 %
wield6 inc.,17547062.4,55.78878 %
emigration8 inc.,17530857.85,55.81324 %
manned9 inc.,17488836.3,55.83763 %
radiator1 inc.,17476126.5,55.86201 %
aneroid8 inc.,17446278.75,55.88635 %
thrusts3 inc.,17445883.05,55.91069 %
veal8 inc.,17425944.3,55.93500 %
stifles9 inc.,17398005.9,55.95927 %
prattling5 inc.,17338046.4,55.98346 %
flirtation2 inc.,17326649.3,56.00763 %
intending15 inc.,17321287.9,56.03179 %
reeducated4 inc.,17318326.5,56.05595 %
phrasing2 inc.,17301258.2,56.08009 %
carats15 inc.,17286055.05,56.10420 %
piston2 inc.,17264260.8,56.12829 %
dinged6 inc.,17250825.9,56.15235 %
heckled4 inc.,17233041.9,56.17639 %
mirrored10 inc.,17230586.85,56.20043 %
fairer inc.,17188679.4,56.22441 %
syntaxes16 inc.,17171765.4,56.27233 %
fully12 inc.,17170780.2,56.29628 %
crunched1 inc.,17162917.95,56.32022 %
sees1 inc.,17132474,56.34412 %
candidates14 inc.,17115120.9,56.36800 %
gearings13 inc.,17032019.5,56.39176 %
bumpier14 inc.,17024756.85,56.41551 %
osseous7 inc.,16978235.1,56.43920 %
lessens6 inc.,16963376.64,59.61982 %
synergists11 inc.,16933290.6,56.46282 %
twosomes8 inc.,16931965.05,56.48644 %
stylistic inc.,16874362.8,56.50998 %
peacefully5 inc.,16870858.5,56.53352 %
capita5 inc.,16825444.7,56.55699 %
deforest7 inc.,16785723,59.87902 %
mileage15 inc.,16779421.5,56.58040 %
crisped2 inc.,16775415.1,56.60380 %
trouper6 inc.,16756322.6,56.62717 %
vine10 inc.,16756169.6,56.65055 %
reradiates7 inc.,16745306.2,56.67391 %
fission13 inc.,16724334.6,56.69724 %
enforces13 inc.,16716630.15,56.72056 %
peels7 inc.,16705701.6,56.74387 %
outgrowths6 inc.,16652058.9,56.76710 %
